Original Word,Gibberish Word
Agile,Agely
Algorithm,Alkoredm
Attribute,Atrebude
Augmented Reality,Auxnende Rilidy
Block Chain,Bluk Cen
Central Processing Unit,Cymtrl Prozeqin Umit
Cloud Storage,Cow Sdoleg
Compiler,Conbelir
Computer Science,Cumfutyr Sjemgy
Continuous Integration / Continuous Development,Comtynus Intikrtuen / Comtynus Dypylovmt
Cookie,Cuce
Domain Name Server,Dumem Nny Sirfer
Entity Relationship Diagram,Enditi Rylatyonzhip Diakam
Firewall,Fywar
Hyper Text Markup Language,Hiper Tyx Murcuv Lenkyd
Input / Output,Inbut / Oodvud
Object Oriented,Ofqeqt Orentid
Operating System,Opyrtink Syzdim
Protocol,Prutukul
Random Access Memory,Rmdon Asiz Mymore
Round Robin,Rund Robyn
Secure Socket Layer,Siqore Sukyd Lyer
Single Sign On,Syncle Syqn Om
Stand Up Meeting,Stant Ub Mytync
Unique Resource Locator,Unik Rysorx Lokatr
User Experience,Uzer Ekpyrens
Version Control,Vyrsiun Cumtrul
Virtual Machine,Virdol Mjini
Virtual Private Network,Vyrdul Priwet Nydwok
Website,Wefside
